employeeid,year,state,sales,wisconsin
283,2016,"Michigan",1711,0
284,2016,"Wisconsin",2718,1
285,2017,"Michigan",1479,0
286,2016,"Wisconsin",2626,1
287,2016,"Michigan",2632,0
288,2016,"Wisconsin",4626,1
289,2016,"Michigan",5023,0
290,2017,"Michigan",1476,0
291,2016,"Michigan",4393,0
292,2017,"Wisconsin",2845,1
293,2017,"Wisconsin",2743,1
294,2017,"Michigan",1362,0
295,2016,"Wisconsin",2625,1
296,2016,"Michigan",1445,0
297,2017,"Wisconsin",2397,1
298,2017,"Michigan",1463,0
299,2017,"Wisconsin",1902,1
300,2017,"Wisconsin",3404,1
301,2017,"Wisconsin",4583,1
302,2016,"Michigan",4130,0
303,2017,"Wisconsin",4449,1
304,2016,"Michigan",1128,0
305,2016,"Michigan",1837,0
306,2016,"Wisconsin",2039,1
307,2017,"Michigan",2760,0
308,2017,"Wisconsin",3572,1
309,2016,"Michigan",3821,0
310,2016,"Michigan",4479,0
311,2016,"Michigan",1568,0
312,2017,"Michigan",1703,0
313,2017,"Wisconsin",2460,1
314,2016,"Michigan",2733,0
315,2017,"Wisconsin",4331,1
316,2016,"Wisconsin",3310,1
317,2017,"Wisconsin",3532,1
318,2017,"Michigan",4205,0
319,2016,"Wisconsin",1091,1
320,2017,"Wisconsin",3838,1
321,2017,"Michigan",2915,0
322,2017,"Wisconsin",2611,1
323,2017,"Michigan",2769,0
324,2016,"Wisconsin",1025,1
325,2016,"Wisconsin",4952,1
326,2017,"Wisconsin",4721,1
327,2017,"Wisconsin",3628,1
328,2016,"Michigan",3742,0
329,2016,"Michigan",3213,0
330,2017,"Wisconsin",3144,1
331,2017,"Wisconsin",3066,1
332,2017,"Wisconsin",2200,1
333,2017,"Wisconsin",4532,1
334,2016,"Michigan",4775,0
335,2017,"Michigan",4194,0
336,2017,"Wisconsin",4874,1
337,2017,"Michigan",1297,0
338,2016,"Wisconsin",2560,1
339,2016,"Wisconsin",2875,1
340,2017,"Wisconsin",3433,1
341,2016,"Wisconsin",3469,1
342,2017,"Wisconsin",2820,1
343,2016,"Michigan",3938,0
344,2016,"Wisconsin",3799,1
345,2016,"Wisconsin",2921,1
346,2016,"Wisconsin",3340,1
347,2017,"Wisconsin",2928,1
348,2017,"Wisconsin",2985,1
349,2016,"Wisconsin",2582,1
350,2017,"Michigan",3052,0
351,2016,"Wisconsin",2489,1
352,2017,"Michigan",1617,0
353,2016,"Wisconsin",3115,1
354,2017,"Michigan",3692,0
355,2017,"Michigan",3634,0
356,2016,"Michigan",3826,0
357,2017,"Michigan",4339,0
358,2016,"Wisconsin",1346,1
359,2017,"Michigan",4980,0
360,2016,"Wisconsin",1917,1
361,2016,"Michigan",3817,0
362,2016,"Wisconsin",1433,1
363,2016,"Wisconsin",1554,1
364,2017,"Michigan",1919,0
365,2016,"Michigan",2232,0
366,2017,"Wisconsin",3819,1
367,2016,"Michigan",3364,0
368,2016,"Wisconsin",4089,1
369,2016,"Wisconsin",4539,1
370,2017,"Michigan",1938,0
371,2016,"Wisconsin",1773,1
372,2017,"Wisconsin",2417,1
373,2016,"Wisconsin",4656,1
374,2016,"Wisconsin",2284,1
375,2017,"Wisconsin",3149,1
376,2017,"Wisconsin",4770,1
377,2017,"Wisconsin",5020,1
378,2017,"Wisconsin",4945,1
379,2016,"Wisconsin",1843,1
380,2017,"Wisconsin",3843,1
381,2016,"Michigan",2090,0
382,2016,"Wisconsin",4363,1
383,2017,"Wisconsin",2303,1
384,2017,"Wisconsin",3111,1
385,2016,"Wisconsin",4077,1
386,2016,"Wisconsin",4973,1
387,2016,"Wisconsin",4178,1
388,2016,"Wisconsin",4374,1
389,2017,"Michigan",3266,0
390,2017,"Wisconsin",3032,1
391,2016,"Michigan",1796,0
392,2016,"Wisconsin",3216,1
393,2016,"Michigan",2303,0
394,2017,"Michigan",4349,0
395,2016,"Wisconsin",3994,1
396,2017,"Michigan",3446,0
397,2016,"Michigan",3550,0
398,2017,"Michigan",1755,0
399,2016,"Wisconsin",3644,1
400,2017,"Michigan",4708,0
401,2016,"Wisconsin",1463,1
402,2017,"Wisconsin",5420,1
403,2017,"Michigan",2743,0
404,2016,"Michigan",1548,0
405,2016,"Wisconsin",2358,1
406,2016,"Michigan",4335,0
407,2017,"Wisconsin",2638,1
408,2016,"Michigan",2226,0
409,2017,"Michigan",4189,0
410,2016,"Wisconsin",4116,1
411,2016,"Michigan",1288,0
412,2016,"Wisconsin",1557,1
413,2016,"Michigan",2996,0
414,2017,"Wisconsin",4176,1
415,2017,"Michigan",3450,0
416,2016,"Michigan",4793,0
417,2017,"Michigan",4552,0
418,2016,"Wisconsin",1759,1
419,2017,"Michigan",4466,0
420,2016,"Michigan",3311,0
421,2016,"Wisconsin",1711,1
422,2017,"Michigan",2666,0
423,2017,"Michigan",2825,0
424,2017,"Michigan",4029,0
425,2017,"Michigan",3487,0
426,2017,"Michigan",1245,0
427,2017,"Michigan",2209,0
428,2016,"Michigan",4924,0
429,2016,"Michigan",4553,0
430,2017,"Michigan",3862,0
431,2016,"Michigan",4491,0
432,2016,"Michigan",4985,0
433,2017,"Wisconsin",3932,1
434,2017,"Michigan",3696,0
435,2016,"Michigan",3785,0
436,2017,"Wisconsin",2621,1
437,2016,"Wisconsin",1069,1
438,2016,"Wisconsin",1886,1
439,2017,"Wisconsin",1656,1
440,2016,"Wisconsin",1956,1
441,2016,"Wisconsin",3139,1
442,2017,"Wisconsin",3628,1
443,2017,"Wisconsin",2400,1
444,2017,"Michigan",1783,0
445,2017,"Wisconsin",4281,1
446,2016,"Michigan",3536,0
447,2017,"Michigan",1476,0
448,2016,"Michigan",2393,0
449,2016,"Wisconsin",2169,1
450,2017,"Michigan",3110,0
451,2016,"Michigan",3854,0
452,2016,"Wisconsin",4854,1
453,2017,"Wisconsin",4483,1
454,2016,"Wisconsin",1301,1
455,2017,"Michigan",4153,0
456,2017,"Wisconsin",3729,1
457,2016,"Wisconsin",2375,1
458,2017,"Wisconsin",2088,1
459,2017,"Wisconsin",4467,1
460,2017,"Wisconsin",5154,1
461,2017,"Michigan",4471,0
462,2016,"Michigan",2473,0
463,2017,"Wisconsin",3255,1
464,2016,"Michigan",3226,0
465,2017,"Michigan",2693,0
466,2016,"Michigan",2718,0
467,2017,"Wisconsin",4580,1
468,2016,"Michigan",2634,0
469,2016,"Michigan",2831,0
470,2017,"Michigan",3310,0
471,2016,"Wisconsin",4957,1
472,2016,"Michigan",1672,0
473,2017,"Wisconsin",3344,1
474,2016,"Michigan",2025,0
475,2016,"Michigan",4713,0
476,2017,"Wisconsin",3402,1
477,2017,"Wisconsin",2778,1
478,2017,"Wisconsin",5263,1
479,2017,"Michigan",4229,0
480,2016,"Michigan",2028,0
481,2017,"Wisconsin",2239,1
482,2016,"Wisconsin",3073,1
483,2017,"Michigan",3481,0
484,2017,"Wisconsin",3687,1
485,2016,"Michigan",2426,0
486,2017,"Michigan",4117,0
487,2017,"Michigan",3226,0
488,2017,"Wisconsin",2893,1
489,2016,"Michigan",1414,0
490,2017,"Wisconsin",4059,1
491,2016,"Wisconsin",4450,1
492,2017,"Michigan",2247,0
493,2016,"Michigan",4199,0
494,2016,"Wisconsin",1074,1
495,2017,"Wisconsin",2261,1
496,2016,"Michigan",3823,0
497,2016,"Wisconsin",3170,1
498,2016,"Michigan",1574,0
499,2016,"Wisconsin",4518,1
500,2016,"Michigan",4484,0
501,2016,"Wisconsin",2725,1
502,2016,"Michigan",2086,0
503,2016,"Michigan",1683,0
504,2016,"Michigan",4739,0
505,2016,"Wisconsin",4958,1
506,2017,"Wisconsin",3837,1
507,2016,"Wisconsin",1695,1
508,2017,"Wisconsin",3450,1
509,2016,"Wisconsin",1260,1
510,2016,"Michigan",2821,0
511,2017,"Michigan",2053,0
512,2016,"Wisconsin",3402,1
513,2017,"Wisconsin",2996,1
514,2016,"Michigan",2138,0
515,2017,"Michigan",4678,0
516,2016,"Michigan",4295,0
517,2016,"Wisconsin",3204,1
518,2016,"Wisconsin",1522,1
519,2017,"Wisconsin",2556,1
520,2017,"Michigan",3606,0
521,2017,"Michigan",2837,0
522,2016,"Wisconsin",3692,1
523,2016,"Wisconsin",4946,1
524,2017,"Wisconsin",2019,1
525,2016,"Wisconsin",4288,1
526,2017,"Michigan",3711,0
527,2017,"Michigan",1968,0
528,2016,"Wisconsin",2133,1
529,2016,"Wisconsin",3614,1
530,2017,"Michigan",2591,0
531,2017,"Michigan",1226,0
532,2017,"Michigan",2932,0
533,2017,"Michigan",4805,0
534,2017,"Michigan",3922,0
535,2016,"Wisconsin",4094,1
536,2016,"Wisconsin",2187,1
537,2017,"Michigan",2808,0
538,2016,"Wisconsin",2619,1
539,2016,"Michigan",4855,0
540,2017,"Wisconsin",5262,1
541,2017,"Michigan",2668,0
542,2016,"Wisconsin",3816,1
543,2017,"Wisconsin",1513,1
544,2017,"Wisconsin",2452,1
545,2017,"Michigan",1406,0
546,2016,"Michigan",3338,0
547,2017,"Michigan",3578,0
548,2016,"Michigan",2703,0
549,2017,"Wisconsin",4609,1
550,2017,"Michigan",1551,0
551,2017,"Wisconsin",1521,1
552,2016,"Michigan",5066,0
553,2016,"Michigan",3026,0
554,2017,"Wisconsin",3946,1
555,2016,"Wisconsin",1331,1
556,2017,"Wisconsin",4886,1
557,2017,"Wisconsin",2952,1
558,2016,"Wisconsin",4005,1
559,2017,"Michigan",2524,0
560,2017,"Michigan",1327,0
561,2017,"Michigan",3422,0
562,2017,"Wisconsin",4977,1
563,2016,"Wisconsin",3751,1
564,2017,"Michigan",2449,0
565,2017,"Wisconsin",5207,1
566,2017,"Wisconsin",1956,1
567,2017,"Michigan",3419,0
568,2016,"Michigan",1587,0
569,2017,"Wisconsin",1916,1
570,2017,"Michigan",3749,0
571,2016,"Michigan",2357,0
572,2017,"Wisconsin",1944,1
573,2017,"Michigan",2491,0
574,2017,"Wisconsin",1801,1
575,2016,"Wisconsin",1138,1
576,2016,"Wisconsin",3913,1
577,2017,"Wisconsin",2058,1
578,2017,"Wisconsin",4532,1
579,2017,"Michigan",2343,0
580,2017,"Wisconsin",4165,1
581,2017,"Wisconsin",3493,1
582,2017,"Wisconsin",4498,1
583,2016,"Wisconsin",1252,1
584,2017,"Wisconsin",1942,1
585,2016,"Wisconsin",1127,1
586,2017,"Wisconsin",1857,1
587,2016,"Michigan",3894,0
588,2016,"Michigan",4418,0
589,2017,"Wisconsin",4490,1
590,2016,"Michigan",4008,0
591,2017,"Wisconsin",4468,1
592,2016,"Wisconsin",4858,1
593,2016,"Wisconsin",2802,1
594,2016,"Wisconsin",4795,1
595,2017,"Michigan",3260,0
596,2016,"Wisconsin",2323,1
597,2016,"Wisconsin",4768,1
598,2017,"Wisconsin",4692,1
599,2017,"Michigan",3937,0
600,2017,"Michigan",2331,0
601,2017,"Wisconsin",4935,1
602,2016,"Wisconsin",1145,1
603,2016,"Wisconsin",4595,1
604,2016,"Michigan",4734,0
605,2016,"Wisconsin",3695,1
606,2016,"Wisconsin",4273,1
607,2017,"Michigan",4837,0
608,2016,"Michigan",1171,0
609,2017,"Wisconsin",1773,1
610,2016,"Wisconsin",4173,1
611,2017,"Michigan",2350,0
612,2017,"Michigan",2023,0
613,2016,"Michigan",2718,0
614,2016,"Michigan",3639,0
615,2017,"Michigan",2296,0
616,2016,"Michigan",1386,0
617,2016,"Wisconsin",4867,1
618,2016,"Wisconsin",3825,1
619,2016,"Michigan",4360,0
620,2016,"Michigan",4821,0
621,2016,"Michigan",1672,0
622,2016,"Michigan",2067,0
623,2017,"Michigan",4285,0
624,2016,"Michigan",1857,0
625,2016,"Michigan",4046,0
626,2016,"Michigan",3960,0
627,2017,"Wisconsin",2521,1
628,2016,"Michigan",2779,0
629,2016,"Wisconsin",2969,1
630,2016,"Wisconsin",2321,1
631,2017,"Michigan",3712,0
632,2016,"Wisconsin",1809,1
633,2016,"Michigan",1995,0
634,2017,"Michigan",3873,0
635,2016,"Wisconsin",2061,1
636,2016,"Michigan",4252,0
637,2017,"Michigan",1863,0
638,2017,"Wisconsin",3415,1
639,2016,"Michigan",3430,0
640,2016,"Wisconsin",2837,1
641,2016,"Wisconsin",3821,1
642,2017,"Wisconsin",1722,1
643,2016,"Michigan",1473,0
644,2017,"Wisconsin",2370,1
645,2016,"Michigan",4617,0
646,2017,"Michigan",3566,0
647,2016,"Michigan",3314,0
648,2017,"Michigan",2725,0
649,2016,"Wisconsin",2003,1
650,2017,"Michigan",1968,0
651,2016,"Wisconsin",3690,1
652,2017,"Michigan",1177,0
653,2017,"Michigan",5046,0
654,2017,"Michigan",2265,0
655,2017,"Michigan",3405,0
656,2017,"Michigan",2258,0
657,2017,"Wisconsin",1660,1
658,2016,"Michigan",3972,0
659,2017,"Wisconsin",4735,1
660,2017,"Michigan",4085,0
661,2017,"Wisconsin",5414,1
662,2017,"Wisconsin",4567,1
663,2017,"Wisconsin",4336,1
664,2016,"Michigan",4682,0
665,2016,"Michigan",1313,0
666,2017,"Michigan",2170,0
667,2016,"Wisconsin",1318,1
668,2016,"Wisconsin",4552,1
669,2017,"Michigan",4551,0
670,2016,"Wisconsin",3176,1
671,2017,"Michigan",1898,0
672,2017,"Wisconsin",3027,1
673,2017,"Michigan",1592,0
674,2016,"Michigan",3321,0
675,2016,"Michigan",1221,0
676,2016,"Michigan",3233,0
677,2016,"Michigan",2220,0
678,2016,"Michigan",3826,0
679,2016,"Michigan",2880,0
680,2017,"Michigan",5081,0
681,2017,"Wisconsin",3542,1
682,2016,"Wisconsin",1719,1
683,2017,"Wisconsin",2886,1
684,2017,"Michigan",4870,0
685,2017,"Wisconsin",2406,1
686,2016,"Wisconsin",2016,1
687,2016,"Wisconsin",1088,1
688,2017,"Michigan",2546,0
689,2017,"Wisconsin",2265,1
690,2017,"Michigan",4921,0
691,2017,"Wisconsin",3216,1
692,2017,"Michigan",1436,0
693,2016,"Wisconsin",2830,1
694,2016,"Michigan",3380,0
695,2016,"Michigan",4714,0
696,2017,"Wisconsin",5365,1
697,2016,"Michigan",2926,0
698,2017,"Michigan",3398,0
699,2016,"Wisconsin",2705,1
700,2016,"Wisconsin",1111,1
701,2016,"Wisconsin",3150,1
702,2016,"Wisconsin",3451,1
703,2017,"Michigan",4577,0
704,2017,"Michigan",4120,0
705,2016,"Michigan",1208,0
706,2016,"Michigan",2197,0
707,2016,"Michigan",3548,0
708,2016,"Michigan",2785,0
709,2016,"Michigan",3410,0
710,2016,"Michigan",1947,0
711,2016,"Wisconsin",2176,1
712,2017,"Wisconsin",2020,1
713,2016,"Wisconsin",2990,1
714,2017,"Wisconsin",2375,1
715,2017,"Michigan",4184,0
716,2017,"Wisconsin",2101,1
717,2016,"Wisconsin",4661,1
718,2017,"Wisconsin",1763,1
719,2016,"Michigan",2081,0
720,2016,"Michigan",1462,0
721,2016,"Wisconsin",4199,1
722,2017,"Michigan",2312,0
723,2017,"Michigan",3007,0
724,2016,"Michigan",4576,0
725,2016,"Michigan",4052,0
726,2017,"Michigan",3313,0
727,2016,"Wisconsin",3216,1
728,2016,"Wisconsin",3360,1
729,2016,"Wisconsin",3771,1
730,2017,"Wisconsin",4971,1
731,2017,"Michigan",3952,0
732,2017,"Wisconsin",3847,1
733,2016,"Wisconsin",4708,1
734,2017,"Wisconsin",2820,1
735,2017,"Wisconsin",4014,1
736,2017,"Michigan",1761,0
737,2016,"Michigan",3515,0
738,2016,"Michigan",2067,0
739,2016,"Wisconsin",4902,1
740,2017,"Michigan",4776,0
741,2016,"Michigan",1383,0
742,2017,"Wisconsin",1639,1
743,2016,"Michigan",3059,0
744,2016,"Michigan",1878,0
745,2016,"Wisconsin",2229,1
746,2017,"Wisconsin",2236,1
747,2016,"Wisconsin",2693,1
748,2017,"Wisconsin",4010,1
749,2017,"Michigan",1387,0
750,2016,"Michigan",4994,0
751,2016,"Michigan",1403,0
752,2017,"Wisconsin",5213,1
753,2017,"Wisconsin",4313,1
754,2017,"Michigan",2845,0
755,2016,"Michigan",1333,0
756,2017,"Michigan",5025,0
757,2017,"Wisconsin",2424,1
758,2017,"Michigan",3032,0
759,2016,"Wisconsin",2764,1
760,2016,"Michigan",1833,0
761,2016,"Michigan",4554,0
762,2017,"Wisconsin",5251,1
763,2017,"Wisconsin",2030,1
764,2017,"Wisconsin",5044,1
765,2017,"Michigan",1408,0
766,2016,"Michigan",2901,0
767,2017,"Wisconsin",4876,1
768,2016,"Wisconsin",1165,1
769,2017,"Michigan",4081,0
770,2016,"Wisconsin",4796,1
771,2016,"Wisconsin",4374,1
772,2016,"Michigan",1268,0
773,2017,"Michigan",2548,0
774,2017,"Michigan",3771,0
775,2017,"Wisconsin",3193,1
776,2016,"Wisconsin",4434,1
777,2016,"Wisconsin",3828,1
778,2016,"Michigan",1497,0
779,2016,"Michigan",1400,0
780,2016,"Michigan",3624,0
781,2017,"Wisconsin",3070,1
782,2016,"Wisconsin",3377,1
783,2017,"Wisconsin",2335,1
784,2016,"Wisconsin",4652,1
785,2017,"Michigan",1870,0
786,2017,"Michigan",1703,0
787,2016,"Michigan",2589,0
788,2016,"Michigan",1558,0
789,2017,"Michigan",2868,0
790,2017,"Michigan",3368,0
791,2016,"Wisconsin",2316,1
792,2016,"Michigan",3638,0
793,2017,"Wisconsin",3485,1
794,2016,"Michigan",2762,0
795,2016,"Michigan",3322,0
796,2017,"Wisconsin",5261,1
797,2016,"Wisconsin",1920,1
798,2016,"Wisconsin",2202,1
799,2017,"Wisconsin",5038,1
800,2016,"Wisconsin",1361,1
801,2017,"Michigan",2583,0
802,2016,"Michigan",4670,0
803,2016,"Michigan",2086,0
804,2017,"Michigan",4026,0
805,2016,"Michigan",1161,0
806,2016,"Wisconsin",2030,1
807,2017,"Michigan",2985,0
808,2016,"Wisconsin",4573,1
809,2017,"Wisconsin",3482,1
810,2017,"Wisconsin",3697,1
811,2016,"Wisconsin",2359,1
812,2017,"Wisconsin",4673,1
813,2016,"Michigan",3274,0
814,2017,"Wisconsin",2395,1
815,2017,"Wisconsin",4674,1
816,2016,"Michigan",2236,0
817,2016,"Michigan",2580,0
818,2017,"Michigan",1660,0
819,2016,"Michigan",2679,0
820,2016,"Michigan",4542,0
821,2016,"Wisconsin",3320,1
822,2016,"Wisconsin",2646,1
823,2016,"Wisconsin",4462,1
